id_product,name,category,price,custo
1,Monitor LG 24MK430H,Monitores,818.51,529.26
2,Cadeira Ergonômica Elements,Cadeiras,2339.59,1698.76
3,Samsung Galaxy A15,Smartphones,868.11,701.89
4,Apple iPhone 13,Smartphones,3474.68,2425.06
5,Xbox Series S,Games,2418.39,1938.14
6,Apple iPhone 15,Smartphones,4412.94,3153.06
7,Hub USB-C 6 em 1,Acessórios,152.5,123.17
8,Monitor LG 24MK430H,Monitores,748.83,641.74
9,Sony WH-CH520,Áudio,317.23,211.58
10,Cadeira Gamer Fortrek,Cadeiras,963.43,748.2
11,Cadeira Ergonômica Elements,Cadeiras,2015.76,1558.41
12,Teclado Logitech K120,Periféricos,88.71,66.73
13,Sony WH-CH520,Áudio,295.51,231.01
14,Hub USB-C 6 em 1,Acessórios,161.3,127.3
15,Cadeira Ergonômica Elements,Cadeiras,2370.31,1692.08
16,JBL Tune 520BT,Áudio,246.53,205.39
17,Monitor LG 24MK430H,Monitores,846.31,581.68
18,Motorola Edge 50,Smartphones,2615.9,1677.08
19,Sony WH-1000XM5,Áudio,2077.95,1681.83
20,Teclado Logitech K120,Periféricos,98.4,65.2
21,Motorola Edge 50,Smartphones,2399.47,1903.1
22,Cadeira Ergonômica Elements,Cadeiras,2271.47,1477.39
23,Controle DualSense PS5,Games,453.18,375.8
24,Mouse Logitech M170,Periféricos,74.79,59.91
25,JBL Tune 520BT,Áudio,239.89,192.4
26,Cadeira Ergonômica Elements,Cadeiras,2107.94,1725.31
27,Cabo USB-C Baseus,Acessórios,49.99,40.66
28,Cadeira Ergonômica Elements,Cadeiras,2392.67,1837.42
29,Carregador Apple 20W,Acessórios,186.7,150.12
30,Cadeira Gamer ThunderX3,Cadeiras,1281.89,928.0
31,Monitor LG UltraGear 27,Monitores,1553.23,1151.67
32,Motorola Edge 50,Smartphones,2675.79,2027.59
33,JBL Go 3,Áudio,327.55,227.12
34,Nintendo Switch OLED,Games,2129.33,1761.17
35,Headset HyperX Cloud Stinger,Periféricos,285.07,250.77
36,Cadeira Gamer Husky,Cadeiras,1509.16,990.08
37,Cadeira Gamer ThunderX3,Cadeiras,1317.66,1090.3
38,Apple iPhone 15,Smartphones,4660.37,3040.37
39,Controle Xbox Wireless,Games,451.16,333.97
40,Suporte para Notebook,Acessórios,122.82,104.47
41,Monitor Samsung Odyssey G5,Monitores,2572.16,2079.51
42,Samsung Galaxy A15,Smartphones,948.0,758.06
43,Monitor LG 24MK430H,Monitores,827.61,649.58
44,Cadeira Ergonômica Elements,Cadeiras,2107.06,1782.24
45,Samsung Galaxy A35,Smartphones,1562.76,1385.18
46,JBL Go 3,Áudio,281.88,216.99
47,JBL Tune 520BT,Áudio,265.98,172.05
48,Cabo USB-C Baseus,Acessórios,48.35,33.68
49,Hub USB-C 6 em 1,Acessórios,145.44,104.54
50,Headset HyperX Cloud Stinger,Periféricos,298.06,246.91
51,Mousepad Havit,Periféricos,61.74,50.71
52,Hub USB-C 6 em 1,Acessórios,145.55,111.11
53,Nintendo Switch OLED,Games,2092.47,1512.13
54,Apple iPhone 13,Smartphones,3567.46,2492.81
55,Carregador Apple 20W,Acessórios,181.94,155.77
56,Motorola Moto G54,Smartphones,1183.13,801.11
57,Samsung Galaxy A35,Smartphones,1645.46,1287.69
58,Monitor LG 24MK430H,Monitores,792.16,532.88
59,Xbox Series S,Games,2173.03,1657.55
60,Webcam Logitech C920,Acessórios,497.62,376.95
61,Suporte para Notebook,Acessórios,139.11,106.52
62,Cadeira Office Flexform,Cadeiras,1589.32,1355.04
63,Controle DualSense PS5,Games,443.04,333.37
64,Hub USB-C 6 em 1,Acessórios,164.62,127.0
65,JBL Go 3,Áudio,288.32,214.82
66,Cabo USB-C Baseus,Acessórios,52.48,34.61
67,Controle Xbox Wireless,Games,535.19,331.02
68,Motorola Moto G54,Smartphones,1125.05,990.1
69,Samsung Galaxy A35,Smartphones,1800.97,1150.89
70,Mousepad Havit,Periféricos,64.75,47.11
71,Monitor LG 24MK430H,Monitores,782.63,552.06
72,Suporte para Notebook,Acessórios,142.63,92.1
73,JBL Flip 6,Áudio,663.83,486.09
74,Monitor LG UltraGear 27,Monitores,1477.09,1056.54
75,Monitor AOC 24G2,Monitores,1137.43,972.19
76,Teclado Logitech K120,Periféricos,91.18,70.89
77,Cabo USB-C Baseus,Acessórios,53.34,41.77
78,Controle Xbox Wireless,Games,498.15,391.17
79,PlayStation 5 Slim,Games,3539.05,2967.17
80,Cabo USB-C Baseus,Acessórios,50.48,37.96
